#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       5.95      
# Sample Dimensions (mm):          [0.836 0.743 1.136]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 3853      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (130.774  +/-  0.269) GPa  (0.21%);    bounds (GPa): [110. 150.];    init value = 131.0 GPa
# c12 =  (28.402   +/-  0.349) GPa  (1.23%);    bounds (GPa): [10. 50.];      init value = 28.058 GPa
# c13 =  (16.94    +/-  0.498) GPa  (2.94%);    bounds (GPa): [ 0. 40.];      init value = 17.3 GPa
# c33 =  (151.479  +/-  0.394) GPa  (0.26%);    bounds (GPa): [120. 160.];    init value = 151.7 GPa
# c44 =  (48.004   +/-  0.078) GPa  (0.16%);    bounds (GPa): [30. 70.];      init value = 48.29 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

49       3.55131        3.55848        -0.20207               0.378108       0.037956       -0.051017      0.307798       0.327154       
50       3.59023        3.58886        0.03817                0.509048       -0.079702      -0.010437      0.102327       0.478765       
51       3.60071        3.60169        -0.02714               0.410278       -0.062857      -0.012413      0.088151       0.576841       
52       3.61628        3.61325        0.08359                1.072374       -0.158437      -0.01525       0.014592       0.086721       
53       3.64344        3.63733        0.16756                0.627578       -0.105591      -0.015627      0.193488       0.300153       
54       3.64895        3.64641        0.06964                0.335575       -0.064857      -0.004093      0.163043       0.570332       
55       3.65519        3.65147        0.10182                0.280833       0.020043       -0.022562      0.13424        0.587446       
56       3.70215        3.70957        -0.20057               0.315359       -0.012283      -0.028413      0.309079       0.416257       
57       3.72857        3.73105        -0.06639               0.479854       -0.056883      -0.006842      0.052898       0.530973       
58       3.74707        3.74794        -0.02332               0.040912       -0.001372      0.012462       0.92919        0.018808       
59       3.76786        3.76938        -0.04047               0.616487       -0.102433      -0.008785      0.176541       0.318191       
60       3.78243        3.7807         0.04566                0.582055       -0.09417       -0.009467      0.183167       0.338415       
61       3.83978        3.84396        -0.10887               0.481421       -0.086488      -0.013749      0.208958       0.409859       
62       3.87619        3.87425        0.04998                0.330161       -0.01891       -0.016158      0.236275       0.468632       
63       3.89118        3.88242        0.22513                0.240274       -0.009993      -0.067436      0.491883       0.345272       
64       3.93509        3.93485        0.00599                0.215031       -0.005926      -0.063803      0.666731       0.187967       
65       3.96297        3.95859        0.11046                0.385364       -0.059725      -0.007602      0.169189       0.512774       
66       3.97698        3.97776        -0.0195                0.571251       -0.090854      -0.00583       0.126104       0.399329       
67       3.98941        3.98904        0.00938                0.883574       -0.128827      -0.006198      0.008445       0.243005       
#68       0              4.06714        0                      0.0            -0.0           -0.0           0.0            0.0            
#69       0              4.08717        0                      0.0            -0.0           -0.0           0.0            0.0            
#70       0              4.10647        0                      0.0            -0.0           -0.0           0.0            0.0            
