
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_ray
	# fitting method     	= differential evolution
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# generations        	= 122 + 1
	# function evals     	= 22260
	# fit duration       	= 62862.06 seconds
	# chi-square         	= 0.00029753
	# reduced chi-square 	= 0.00000208
#Variables----------------------------------------------------------------------
	# c11 : 89.757 GPa (init = [[70, 100], GPa])
	# c12 : 25.276 GPa (init = [[10, 40], GPa])
	# c13 : 40.987 GPa (init = [[25, 55], GPa])
	# c22 : 143.935 GPa (init = [[125, 155], GPa])
	# c23 : 31.839 GPa (init = [[15, 60], GPa])
	# c33 : 95.988 GPa (init = [[75, 105], GPa])
	# c44 : 28.099 GPa (init = [[15, 45], GPa])
	# c55 : 53.402 GPa (init = [[37, 67], GPa])
	# c66 : 30.594 GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : -86.59120000 GPa
	# angle_y : -75.20310000 GPa
	# angle_z : -64.15210000 GPa

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
35      2.761604     2.767945     0.229        1.0     0.182145     -0.016413    -0.093604    0.159341     -0.026353    0.191103     0.227244     0.183714     0.192822     
36      2.813808     2.817785     0.141        1.0     0.192093     -0.018509    -0.082534    0.119429     -0.026716    0.273282     0.15219      0.149235     0.241529     
37      2.859292     2.863879     0.16         1.0     0.252687     -0.019611    -0.093591    0.183944     -0.048984    0.287812     0.06511      0.152743     0.219889     
38      2.88995      2.88503      0.171        1.0     0.312178     -0.001914    -0.216734    0.147775     -0.021512    0.332955     0.114989     0.10392      0.228343     
39      2.898063     2.897849     0.007        1.0     0.311711     -0.032006    -0.178595    0.170104     0.003943     0.231967     0.086049     0.14154      0.265287     
40      2.910309     2.911029     0.025        1.0     0.328507     -0.024348    -0.138224    0.150822     -0.025749    0.193338     0.119049     0.207782     0.188823     
41      2.954041     2.952713     0.045        1.0     0.331179     0.010495     -0.203946    0.101222     -0.029221    0.302681     0.154421     0.125757     0.207412     
42      2.962974     2.95857      0.149        1.0     0.319046     0.003737     -0.196661    0.107041     -0.004094    0.289978     0.172481     0.191072     0.117401     
43      2.988917     2.98891      0.0          1.0     0.121474     -0.001127    -0.042296    0.082839     -0.005509    0.104415     0.361611     0.153998     0.224596     
44      3.034545     3.037472     0.096        1.0     0.169915     -0.025302    -0.049264    0.32661      -0.114638    0.31925      0.19467      0.086094     0.092664     
45      3.049858     3.045968     0.128        1.0     0.20576      -0.020185    -0.072341    0.288321     -0.105332    0.293362     0.142132     0.100284     0.167999     
46      3.103841     3.103622     0.007        1.0     0.310269     -0.024851    -0.152117    0.13429      -0.021344    0.212161     0.151342     0.103539     0.28671      
47      3.118778     3.114864     0.126        1.0     0.214319     -0.025364    -0.068349    0.363783     0.004265     0.186583     0.105259     0.09082      0.128684     
48      3.12869      3.123518     0.166        1.0     0.293706     -0.025405    -0.121038    0.192223     0.001873     0.182938     0.083486     0.199091     0.193125     
49      3.175159     3.179566     0.139        1.0     0.34674      -0.028588    -0.163698    0.135331     -0.023235    0.267549     0.1335       0.127973     0.204428     
50      3.212052     3.209081     0.093        1.0     0.139287     -0.008644    -0.049151    0.272275     -0.070525    0.191235     0.192317     0.089915     0.243292     
51      3.233731     3.229746     0.123        1.0     0.274672     -0.032666    -0.10488     0.211188     -0.035424    0.228027     0.159607     0.136872     0.162604     
52      3.258212     3.255906     0.071        1.0     0.238428     -0.013085    -0.135452    0.233911     -0.044445    0.220594     0.172644     0.088945     0.23846      
53      3.288848     3.29176      0.088        1.0     0.240658     -0.0508      -0.045462    0.266133     -0.042959    0.150486     0.119048     0.086465     0.276432     
54      3.325489     3.329244     0.113        1.0     0.314719     -0.033641    -0.13921     0.128809     -0.002837    0.147963     0.265472     0.082965     0.23576      
55      3.333809     3.337252     0.103        1.0     0.303773     -0.007361    -0.174063    0.131271     -0.016763    0.223568     0.13801      0.13842      0.263144     
56      3.352766     3.353701     0.028        1.0     0.263661     -0.016865    -0.101103    0.130494     -0.033713    0.23095      0.180458     0.119494     0.226624     
57      3.39969      3.397264     0.071        1.0     0.39436      -0.004251    -0.24141     0.121386     -0.014215    0.295182     0.121364     0.127241     0.200343     
58      3.441372     3.439622     0.051        1.0     0.262322     -0.000393    -0.128833    0.127501     -0.015611    0.164325     0.135187     0.197475     0.258027     
59      3.444665     3.454501     0.285        1.0     0.278061     -0.020884    -0.126842    0.158068     -0.026588    0.205053     0.203288     0.139144     0.1907       
60      3.473987     3.468104     0.17         1.0     0.271392     -0.000289    -0.160054    0.148985     -0.047472    0.295636     0.211257     0.134635     0.14591      
61      3.486879     3.480438     0.185        1.0     0.302072     0.014233     -0.20785     0.089723     -0.035409    0.314166     0.195075     0.177578     0.150413     
62      3.526551     3.524743     0.051        1.0     0.2712       0.005998     -0.171808    0.085471     -0.024108    0.258144     0.150603     0.17254      0.251959     
63      3.554907     3.551708     0.09         1.0     0.202009     -0.025571    -0.0881      0.152021     -0.011549    0.157003     0.329797     0.135936     0.148455     
64      3.564589     3.570603     0.168        1.0     0.280153     -0.000121    -0.16229     0.161802     -0.015023    0.25313      0.19474      0.120983     0.166625     
65      3.580537     3.578554     0.055        1.0     0.200355     -0.012146    -0.089984    0.15358      -0.041931    0.221915     0.234536     0.144912     0.188764     
66      3.618677     3.620119     0.04         1.0     0.321242     -0.021948    -0.168944    0.132423     -0.020722    0.216345     0.165025     0.115741     0.260838     
67      3.64321      3.647037     0.105        1.0     0.273787     -0.024259    -0.119746    0.180986     -0.038303    0.240136     0.159281     0.098194     0.229924     
68      3.651767     3.655121     0.092        1.0     0.253096     -0.019044    -0.097323    0.117261     -0.02548     0.237326     0.235307     0.160755     0.138102     
69      3.663146     3.660425     0.074        1.0     0.231206     -0.006919    -0.127702    0.16595      -0.03156     0.221803     0.274829     0.09679      0.175604     
70      3.70535      3.703865     0.04         1.0     0.147897     -0.004528    -0.082806    0.157376     -0.05945     0.271283     0.269877     0.10092      0.199431     
71      3.734984     3.733487     0.04         1.0     0.256157     -0.008169    -0.162832    0.125224     -0.030044    0.251653     0.278668     0.092846     0.196497     
