#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.549999999999999
# Sample Dimensions (mm):          [0.935 1.01  1.231]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 2248      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (119.824  +/-  0.342) GPa  (0.29%);    bounds (GPa): [110. 140.];    init value = 119.854 GPa
# c12 =  (28.284   +/-  0.423) GPa  (1.5%);     bounds (GPa): [20. 40.];      init value = 28.058 GPa
# c13 =  (13.769   +/-  0.59) GPa   (4.28%);    bounds (GPa): [ 0. 30.];      init value = 14.273 GPa
# c33 =  (142.562  +/-  0.522) GPa  (0.37%);    bounds (GPa): [125. 155.];    init value = 142.826 GPa
# c44 =  (44.023   +/-  0.09) GPa   (0.21%);    bounds (GPa): [30. 60.];      init value = 44.006 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

49       3.0706         3.075          -0.14335               0.360293       -0.049641      -0.011438      0.067456       0.63333        
50       3.09502        3.08734        0.24803                0.341962       -0.020591      -0.021159      0.272562       0.427225       
51       3.12639        3.13492        -0.27286               0.399332       -0.06464       -0.010804      0.096042       0.580069       
52       3.15801        3.17254        -0.46005               0.275388       0.039339       -0.02222       0.187983       0.51951        
53       3.1864         3.19496        -0.26839               0.310562       0.03584        -0.034188      0.262769       0.425017       
54       3.22394        3.20898        0.46411                0.315813       -0.022702      -0.019892      0.260401       0.46638        
55       3.24337        3.23998        0.1043                 0.496374       -0.108496      -0.007574      0.214086       0.405609       
56       3.24423        3.24676        -0.07793               0.235505       0.000955       -0.004538      0.117671       0.650408       
57       3.30311        3.32155        -0.5584                0.435296       -0.0528        -0.005243      0.035372       0.587374       
58       3.31685        3.32319        -0.19086               0.584581       -0.102326      -0.010702      0.159417       0.36903        
59       3.33366        3.3262         0.22359                0.533795       -0.092026      -0.011548      0.17215        0.397629       
60       3.36501        3.36863        -0.10776               0.516686       -0.096978      -0.006901      0.176399       0.410794       
61       3.37217        3.3755         -0.09877               0.494477       -0.106285      0.002011       0.057134       0.552663       
62       3.37681        3.38298        -0.18294               1.15715        -0.21399       0.00391        0.014971       0.037958       
63       3.41558        3.41673        -0.0338                1.168247       -0.204268      0.002157       0.009276       0.024588       
64       3.42367        3.4343         -0.31039               0.783935       -0.123517      -0.003991      0.03269        0.310884       
65       3.42826        3.43595        -0.2242                0.761956       -0.13986       -0.007348      0.115677       0.269575       
66       3.449          3.43921        0.2838                 1.203877       -0.220246      0.003678       0.004801       0.007889       
67       3.45913        3.45249        0.19177                0.393878       -0.028554      -0.01768       0.226363       0.425993       
68       3.47264        3.4534         0.55401                0.296626       -0.013028      -0.011716      0.222765       0.505354       
69       3.51876        3.52815        -0.26682               0.918341       -0.179285      -0.007831      0.204614       0.064161       
70       3.5425         3.53703        0.15459                0.661664       -0.113655      -0.022977      0.17778        0.297188       
71       3.55154        3.54114        0.29265                0.985846       -0.173054      -0.008235      0.046828       0.148614       
72       3.55678        3.55337        0.09595                0.494375       -0.067962      -0.036613      0.24403        0.36617        
73       3.56171        3.57381        -0.33965               1.244747       -0.253259      0.000537       0.003244       0.004731       
74       3.57769        3.57994        -0.06288               0.493211       -0.027096      -0.080923      0.481539       0.133269       
75       3.58031        3.58327        -0.08245               0.080603       -0.006537      0.000931       0.918985       0.006018       
#76       0              3.65299        0                      0.0            -0.0           -0.0           0.0            0.0            
#77       0              3.68295        0                      0.0            -0.0           -0.0           0.0            0.0            
#78       0              3.69064        0                      0.0            -0.0           -0.0           0.0            0.0            
#79       0              3.70281        0                      0.0            -0.0           -0.0           0.0            0.0            
#80       0              3.72266        0                      0.0            -0.0           -0.0           0.0            0.0            
#81                      3.73844                                                                                                          
#82                      3.74109                                                                                                          
#83                      3.75493                                                                                                          
#84                      3.79002                                                                                                          
#85                      3.84715                                                                                                          
#86                      3.87896                                                                                                          
#87                      3.87957                                                                                                          
#88                      3.89676                                                                                                          
#89                      3.92539                                                                                                          
#90                      3.93455                                                                                                          
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# RMS = 0.03 %
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
