#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.549999999999999
# Sample Dimensions (mm):          [0.935 1.01  1.231]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 3982      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (119.854  +/-  0.309) GPa  (0.26%);    bounds (GPa): [110. 140.];    init value = 123.568 GPa
# c12 =  (28.058   +/-  0.384) GPa  (1.37%);    bounds (GPa): [20. 50.];      init value = 33.712 GPa
# c13 =  (14.273   +/-  0.886) GPa  (6.21%);    bounds (GPa): [ 0. 30.];      init value = 18.007 GPa
# c33 =  (142.826  +/-  0.891) GPa  (0.62%);    bounds (GPa): [125. 155.];    init value = 142.772 GPa
# c44 =  (44.006   +/-  0.099) GPa  (0.23%);    bounds (GPa): [30. 60.];      init value = 42.446 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

49       3.0706         3.07493        -0.14089               0.36017        -0.048749      -0.012126      0.067535       0.63317        
50       3.09502        3.08705        0.25751                0.342284       -0.020176      -0.022473      0.272964       0.427401       
51       3.12639        3.13519        -0.28153               0.398549       -0.063432      -0.01159       0.095754       0.580719       
52       3.15801        3.17109        -0.41412               0.276112       0.038939       -0.02358       0.188091       0.520438       
53       3.1864         3.19313        -0.21112               0.31154        0.035381       -0.036066      0.264399       0.424746       
54       3.22394        3.2087         0.47258                0.316224       -0.02227       -0.021158      0.260761       0.466443       
55       3.24337        3.24153        0.05661                0.494115       -0.106917      -0.007947      0.214327       0.406422       
56       3.24423        3.24652        -0.07075               0.234671       0.001069       -0.004969      0.118382       0.650848       
#57       0              3.32185        0                      0.0            -0.0           -0.0           0.0            0.0            
#58       0              3.32438        0                      0.0            -0.0           -0.0           0.0            0.0            
#59       0              3.32722        0                      0.0            -0.0           -0.0           0.0            0.0            
#60       0              3.37001        0                      0.0            -0.0           -0.0           0.0            0.0            
#61       0              3.37709        0                      0.0            -0.0           0.0            0.0            0.0            
#62                      3.38662                                                                                                          
#63                      3.42015                                                                                                          
#64                      3.43596                                                                                                          
#65                      3.43791                                                                                                          
#66                      3.44299                                                                                                          
#67                      3.45238                                                                                                          
#68                      3.45334                                                                                                          
#69                      3.5312                                                                                                           
#70                      3.53764                                                                                                          
#71                      3.54352                                                                                                          
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# RMS = 0.034 %
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
