#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.9       
# Sample Dimensions (mm):          [0.911 1.02  1.305]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 36        
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (138.357  +/-  0.273) GPa  (0.2%);     bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (42.159   +/-  0.319) GPa  (0.76%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (14.464   +/-  0.478) GPa  (3.3%);     bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (194.327  +/-  0.416) GPa  (0.21%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (45.059   +/-  0.05) GPa   (0.11%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

49       3.18046        3.18307        -0.08195               0.431618       -0.100046      -0.005964      0.059686       0.614707       
50       3.196          3.19015        0.18305                0.28274        -0.025913      -0.014558      0.257948       0.499783       
51       3.23659        3.23127        0.16444                0.719542       -0.181227      -0.009577      0.22947        0.241791       
52       3.30216        3.30552        -0.10186               0.199999       -0.0244        -0.010863      0.214331       0.620933       
53       3.30783        3.31195        -0.12462               0.252688       -0.019433      -0.001325      0.05669        0.71138        
54       3.31186        3.31367        -0.05455               0.408468       -0.118669      -0.00511       0.183005       0.532306       
55       3.32676        3.32597        0.02376                0.472637       -0.068183      -0.005926      0.058565       0.542907       
56       3.33879        3.3408         -0.05998               0.366598       0.026706       -0.016265      0.141581       0.481379       
57       3.35034        3.36374        -0.39995               0.347804       0.039403       -0.024484      0.234648       0.40263        
58       3.40624        3.40667        -0.01259               0.589921       -0.149811      -0.005642      0.167093       0.398439       
59       3.41844        3.41811        0.00982                0.553912       -0.137408      -0.007116      0.178022       0.412589       
60       3.44505        3.44715        -0.06116               0.515027       -0.14388       0.002285       0.046334       0.580234       
61       3.45331        3.45429        -0.02836               0.606479       -0.164679      -0.002117      0.155983       0.404333       
62       3.50316        3.49831        0.13849                0.921022       -0.221716      -0.0002        0.015046       0.285849       
63       3.53302        3.53319        -0.00501               1.324926       -0.337721      -0.000522      0.002222       0.011096       
64       3.54799        3.54356        0.12485                0.774038       -0.195087      -0.002784      0.104539       0.319295       
65       3.58029        3.57013        0.28371                0.349873       -0.047091      -0.01109       0.197711       0.510597       
66       3.5902         3.59304        -0.07903               1.300065       -0.312945      0.002987       0.003611       0.006282       
67       3.59662        3.59397        0.07369                1.306274       -0.315581      -0.001588      0.002293       0.008602       
68       3.64897        3.64348        0.15033                0.367846       -0.053594      -0.005882      0.09063        0.601          
69       3.66914        3.66344        0.15542                0.964568       -0.249332      -0.002468      0.027939       0.259292       
