#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       7.684976435144674
# Sample Dimensions (mm):          [0.869 1.01  1.193]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 3616      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (139.702  +/-  0.315) GPa  (0.23%);    bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (44.414   +/-  0.381) GPa  (0.86%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (16.36    +/-  0.936) GPa  (5.72%);    bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (192.655  +/-  0.9) GPa    (0.47%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (44.295   +/-  0.068) GPa  (0.15%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

49       3.30823        3.31637        -0.24624               0.283903       -0.060718      0.001367       0.067057       0.708392       
50       3.33779        3.33611        0.05034                0.340689       -0.036368      -0.020296      0.287136       0.428839       
51       3.34125        3.33896        0.06846                0.735236       -0.192607      -0.012552      0.246802       0.223121       
52       3.43213        3.43291        -0.02251               0.379118       -0.055023      -0.011444      0.056388       0.630961       
53       3.47336        3.47494        -0.04546               0.583457       -0.177342      -0.007236      0.211088       0.390033       
54       3.50863        3.51207        -0.09785               0.495298       -0.144605      0.003022       0.035124       0.611161       
55       3.5367         3.53395        0.07768                0.435158       -0.045243      -0.011147      0.095733       0.5255         
56       3.54383        3.54489        -0.02989               0.402434       -0.006523      -0.01678       0.127059       0.49381        
57       3.54996        3.5472         0.07757                0.264663       -0.040205      -0.014656      0.22413        0.566068       
58       3.55264        3.56797        -0.43174               0.421435       -0.002339      -0.031271      0.221776       0.390398       
59       3.57592        3.58236        -0.18023               0.653002       -0.17036       -0.01074       0.152099       0.375999       
60       3.5884         3.59158        -0.08864               0.514301       -0.130034      -0.012736      0.187125       0.441344       
61       3.61826        3.62324        -0.13779               0.601196       -0.169166      -0.003164      0.166752       0.404382       
62       3.62344        3.62404        -0.01661               0.891459       -0.221086      -0.002455      0.020398       0.311684       
63       3.62946        3.63161        -0.05948               1.266295       -0.344083      0.00402        0.019149       0.05462        
64       3.67443        3.68301        -0.23361               1.233317       -0.302458      0.008685       0.021436       0.039019       
65       3.7091         3.70735        0.0473                 1.304327       -0.332558      0.000365       0.005943       0.021922       
66       3.71258        3.70843        0.11176                1.00096        -0.27132       -0.005648      0.061955       0.214053       
#67       0              3.76565        0                      0.0            -0.0           -0.0           0.0            0.0            
#68       0              3.78815        0                      0.0            -0.0           0.0            0.0            0.0            
#69       0              3.79733        0                      0.0            -0.0           -0.0           0.0            0.0            
#70       0              3.80204        0                      0.0            -0.0           0.0            0.0            0.0            
#71       0              3.81818        0                      0.0            -0.0           -0.0           0.0            0.0            
#72                      3.85306                                                                                                          
#73                      3.85663                                                                                                          
#74                      3.93272                                                                                                          
#75                      3.96903                                                                                                          
#76                      3.98463                                                                                                          
#77                      3.98832                                                                                                          
#78                      4.00089                                                                                                          
#79                      4.02394                                                                                                          
#80                      4.02471                                                                                                          
#81                      4.08267                                                                                                          
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# RMS = 0.034 %
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
