#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       4.7086317774368665
# Sample Dimensions (mm):          [0.823 0.741 1.052]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 35        
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (140.077  +/-  0.308) GPa  (0.22%);    bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (44.778   +/-  0.368) GPa  (0.82%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (17.387   +/-  0.99) GPa   (5.7%);     bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (194.724  +/-  0.907) GPa  (0.47%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (44.404   +/-  0.075) GPa  (0.17%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

49       3.9088         3.91288        -0.10447               0.442028       -0.107714      -0.008154      0.06072        0.61312        
50       3.94485        3.9391         0.14596                0.284426       -0.029192      -0.019263      0.258684       0.505344       
51       3.97554        3.97444        0.02759                0.729932       -0.193388      -0.01312       0.2349         0.241676       
#52       0              4.07126        0                      0.0            -0.0           -0.0           0.0            0.0            
#53       0              4.08146        0                      0.0            -0.0           -0.0           0.0            0.0            
#54       0              4.08377        0                      0.0            -0.0           -0.0           0.0            0.0            
#55       0              4.09863        0                      0.0            -0.0           -0.0           0.0            0.0            
#56       0              4.12025        0                      0.0            0.0            -0.0           0.0            0.0            
#57                      4.15132                                                                                                          
#58                      4.19712                                                                                                          
#59                      4.20962                                                                                                          
#60                      4.24236                                                                                                          
#61                      4.2556                                                                                                           
#62                      4.31632                                                                                                          
#63                      4.35141                                                                                                          
#64                      4.36314                                                                                                          
#65                      4.40411                                                                                                          
#66                      4.42365                                                                                                          
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# RMS = 0.033 %
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
